tipo;estado;canal_entrada;fecha_entrada;fecha_contestacion;consejeria;unidad_descripcion;tema;subtema
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Dirección General de Justicia;JUSTICIA;OTROS
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;LLAMADAS 012;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;METRO 
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-22 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Turismo y Hostelería;TURISMO;HOTELES
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-04-22 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Agencia Madrileña de Atención Social;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Rechazada por SGAC;PRESENCIAL;2024-03-18 00:00:00.0;;;;POLÍTICAS SOCIALES;DEPENDENCIA
Agradecimiento;Cancelada;INTERNET;2024-03-18 00:00:00.0;;Consejería de Cultura, Turismo y Deporte;;CULTURA;Sin valor
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Agradecimiento;Cancelada;INTERNET;2024-03-18 00:00:00.0;;Consejería de Cultura, Turismo y Deporte;;CULTURA;Sin valor
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Agradecimiento;Cancelada;INTERNET;2024-03-18 00:00:00.0;;Consejería de Cultura, Turismo y Deporte;;CULTURA;Sin valor
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Atención a Personas con Discapacidad;POLÍTICAS SOCIALES;DISCAPACIDAD
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Enviada a Otra Administración;INTERNET;2024-03-18 00:00:00.0;;Consejería de Medio Ambiente, Agricultura e Interior;;MEDIO AMBIENTE;RESIDUOS
Queja;Enviada a Otra Administración;INTERNET;2024-03-18 00:00:00.0;;Consejería de Presidencia, Justicia y Administración Local;;URBANISMO;OTROS
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;LLAMADAS 012;2024-03-18 00:00:00.0;2024-04-05 00:00:00.0;Consejería de Medio Ambiente, Agricultura e Interior;Dirección General de Transición Energética y Economía Circular;ENERGÍA;N/A
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-18 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;FIANZAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-05-16 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Carreteras;TRANSPORTES;CARRETERAS
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-09 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General del Servicio Público de Empleo;EMPLEO;EMPLEO
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Política Financiera y Tesorería;ECONOMIA;OTROS
Queja;Cancelada;INTERNET;2024-03-18 00:00:00.0;;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Atención a Personas con Discapacidad;POLÍTICAS SOCIALES;DISCAPACIDAD
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-20 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Promoción Cultural;CULTURA;CENTROS CULTURALES
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-22 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección General de Educación Concertada, Becas y Ayudas al Estudio;EDUCACIÓN;BECAS, AYUDAS Y SUBVENCIONES
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Turismo y Hostelería;TURISMO;HOTELES
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-24 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;VIVIENDAS DEL IVIMA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-05-21 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Agencia Madrileña de Atención Social;POLÍTICAS SOCIALES;MAYORES
Queja;Recepcionada por Unidad;INTERNET;2024-03-18 00:00:00.0;;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;VIVIENDAS DEL IVIMA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-24 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;VIVIENDAS DEL IVIMA
Queja;Rechazada por SGAC;PRESENCIAL;2024-03-18 00:00:00.0;;;;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-20 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Vivienda y Rehabilitación;VIVIENDA;AYUDAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Atención a Personas con Discapacidad;POLÍTICAS SOCIALES;DISCAPACIDAD
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;TARIFAS, ABONOS Y TÍTULOS
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;LLAMADAS 012;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;AUTOBUSES INTERURBANOS
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-25 00:00:00.0;Agencia para la Administración Digital de la Comunidad de Madrid;;INFORMATICA Y COMUNICACIONES (MADRID DIGITAL);OTROS
Sugerencia;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-17 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Patrimonio y Contratación;MEDIO AMBIENTE;PROTECCIÓN ANIMAL
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-05-30 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Carreteras;TRANSPORTES;CARRETERAS
Queja;Cancelada;INTERNET;2024-03-18 00:00:00.0;;Consejería de Presidencia, Justicia y Administración Local;;ATENCIÓN AL CIUDADANO;Sin valor
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-18 00:00:00.0;2024-06-06 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General del Servicio Público de Empleo;EMPLEO;OFICINAS DE EMPLEO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-20 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Sur;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-20 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Sur;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-06-17 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;CITA SANITARIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-15 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Agencia Madrileña de Atención Social;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Subdirección General de Atención al Ciudadano;ATENCIÓN AL CIUDADANO;OFICINAS DE ATENCIÓN AL CIUDADANO DE LA COMUNIDAD DE MADRID
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-20 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Deportes;DEPORTES;POLIDEPORTIVOS, PABELLONES Y PISCINAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-03-21 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Sur;EDUCACIÓN;INFANTIL Y PRIMARIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Sur;EDUCACIÓN;INFANTIL Y PRIMARIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-05-21 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-18 00:00:00.0;2024-06-04 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-22 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Sugerencia;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Este;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Sugerencia;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-22 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;METRO 
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-19 00:00:00.0;2024-04-15 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Agencia Madrileña de Atención Social;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-03 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Turismo y Hostelería;TURISMO;N/A
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-03 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Patrimonio Cultural;CULTURA;BIBLIOTECAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Dirección General de Justicia;JUSTICIA;ÓRGANOS JUDICIALES
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Dirección General de Justicia;JUSTICIA;REGISTROS CIVILES
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-04 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección General de Educación Infantil Y Primaria;EDUCACIÓN;INFANTIL Y PRIMARIA
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-19 00:00:00.0;2024-03-20 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-22 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Sur;EDUCACIÓN;INFANTIL Y PRIMARIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-06-17 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;INVESTIGACIÓN SANITARIA
Queja;Contestada al Ciudadano;LLAMADAS 012;2024-03-19 00:00:00.0;2024-04-04 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;AUTOBUSES INTERURBANOS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Dirección General de Justicia;JUSTICIA;JUSTICIA GRATUITA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-09 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Autónomos y Emprendimiento;ECONOMIA;AUTÓNOMOS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;OTROS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-10 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-09-18 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;MAYORES
Agradecimiento;Cancelada;INTERNET;2024-03-19 00:00:00.0;;Consejería de Educación, Universidades, Ciencia y Portavocía;;EDUCACIÓN;Sin valor
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-09 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección General de Recursos Humanos;EDUCACIÓN;INFANTIL Y PRIMARIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-06-17 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;MEDICAMENTOS Y PRODUCTOS SANITARIOS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-08 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Atención a Personas con Discapacidad;POLÍTICAS SOCIALES;DISCAPACIDAD
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-19 00:00:00.0;2024-04-16 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Agencia Madrileña de Atención Social;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-22 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;SALUD PÚBLICA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Atención a Personas con Discapacidad;POLÍTICAS SOCIALES;DISCAPACIDAD
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-19 00:00:00.0;2024-04-15 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Agencia Madrileña de Atención Social;POLÍTICAS SOCIALES;MAYORES
Queja;Cancelada;INTERNET;2024-03-19 00:00:00.0;;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Vivienda y Rehabilitación;VIVIENDA;AYUDAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Vivienda y Rehabilitación;VIVIENDA;AYUDAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Este;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Cancelada;INTERNET;2024-03-19 00:00:00.0;;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Vivienda y Rehabilitación;VIVIENDA;AYUDAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-02 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Este;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-09-20 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Atención a Personas con Discapacidad;POLÍTICAS SOCIALES;DISCAPACIDAD
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-07-15 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-02 00:00:00.0;Consorcio Regional de Transportes;;TRANSPORTES;AUTOBUSES INTERURBANOS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-20 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Dirección General de Vivienda y Rehabilitación;VIVIENDA;AYUDAS
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-22 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Deportes;DEPORTES;POLIDEPORTIVOS, PABELLONES Y PISCINAS
Queja;Cancelada;INTERNET;2024-03-19 00:00:00.0;;Consejería de Educación, Universidades, Ciencia y Portavocía;;EDUCACIÓN;Sin valor
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-09 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección General de Educación Concertada, Becas y Ayudas al Estudio;EDUCACIÓN;BECAS, AYUDAS Y SUBVENCIONES
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-08-23 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-21 00:00:00.0;Consejería de Cultura, Turismo y Deporte;Dirección General de Deportes;DEPORTES;POLIDEPORTIVOS, PABELLONES Y PISCINAS
Agradecimiento;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Norte;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Agradecimiento;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Norte;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-03-26 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Subdirección General de Inspección de Centros y Servicios Sociales;POLÍTICAS SOCIALES;MAYORES
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Norte;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Agradecimiento;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Norte;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Agradecimiento;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Norte;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Agradecimiento;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Norte;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Agradecimiento;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Norte;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Infancia, Familia y Fomento de la Natalidad;POLÍTICAS SOCIALES;INFANCIA, ACOGIMIENTO Y ADOPCIÓN
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Sanidad;Dirección General de Humanización, Atención y Seguridad al Paciente;SANIDAD;CITA SANITARIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-19 00:00:00.0;2024-04-22 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-20 00:00:00.0;2024-04-01 00:00:00.0;Consejería de Presidencia, Justicia y Administración Local;Dirección General de Justicia;JUSTICIA;REGISTROS CIVILES
Queja;Contestada al Ciudadano;PRESENCIAL;2024-03-20 00:00:00.0;2024-04-16 00:00:00.0;Consejería de Economía, Hacienda y Empleo;Dirección General de Trabajo;EMPLEO;OTROS
Queja;Contestada al Ciudadano;INTERNET;2024-03-20 00:00:00.0;2024-04-12 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;Dirección General de Infancia, Familia y Fomento de la Natalidad;POLÍTICAS SOCIALES;FAMILIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-20 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Este;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-03-20 00:00:00.0;2024-03-25 00:00:00.0;Consejería de Educación, Universidades, Ciencia y Portavocía;Dirección del Área Territorial de Madrid-Este;EDUCACIÓN;SECUNDARIA OBLIGATORIA Y BACHILLERATO
Queja;Contestada al Ciudadano;INTERNET;2024-03-20 00:00:00.0;2024-04-19 00:00:00.0;Consejería de Familia, Juventud y Asuntos Sociales;DG de Atención al Mayor y a la Dependencia;POLÍTICAS SOCIALES;DEPENDENCIA
Queja;Contestada al Ciudadano;INTERNET;2024-03-20 00:00:00.0;2024-06-07 00:00:00.0;Consejería de Vivienda, Transportes e Infraestructuras;Agencia de Vivienda Social;VIVIENDA;VIVIENDAS DEL IVIMA
